Wavelength / nm,Cyclohexane,p-Xylene,Toluene,Diisopropyl ether,Chloroform,Diethyl ether,Tetrahydrofuran
407.5,0.49033,0.48017,0.46537,0.49136,0.48374,0.51406,0.49898
408,0.49047,0.48046,0.46487,0.49192,0.4838,0.51451,0.49973
408.5,0.49065,0.48068,0.46476,0.49266,0.48468,0.51442,0.50123
409,0.49074,0.48142,0.4649,0.4939,0.48623,0.51392,0.503
409.5,0.49144,0.48149,0.46603,0.49497,0.48768,0.51431,0.50433
410,0.49271,0.48178,0.46722,0.49579,0.48852,0.51554,0.50532
410.5,0.49406,0.48281,0.46806,0.49627,0.48907,0.51776,0.50579
411,0.49577,0.48364,0.46896,0.49712,0.48991,0.52026,0.50661
411.5,0.49697,0.48503,0.46961,0.49823,0.49113,0.52236,0.50838
412,0.49756,0.48606,0.47077,0.4995,0.49291,0.52385,0.51032
412.5,0.49791,0.48663,0.47226,0.50155,0.49507,0.52463,0.51291
413,0.49779,0.48689,0.474,0.50298,0.49656,0.52483,0.51509
413.5,0.49809,0.48708,0.4753,0.50392,0.4974,0.52472,0.51656
414,0.49891,0.48776,0.47632,0.5046,0.49779,0.52433,0.51785
414.5,0.49997,0.48885,0.47675,0.50402,0.49805,0.52449,0.51853
415,0.50106,0.49046,0.47737,0.50366,0.49853,0.52545,0.51925
415.5,0.50106,0.4914,0.47856,0.50373,0.49921,0.52679,0.52031
416,0.50071,0.49175,0.47918,0.50324,0.49976,0.52736,0.52119
416.5,0.50038,0.49188,0.47983,0.50268,0.49956,0.52679,0.5217
417,0.49994,0.49194,0.48012,0.50155,0.49918,0.52573,0.52191
417.5,0.49968,0.49271,0.48034,0.50021,0.49869,0.52416,0.52181
418,0.49874,0.4939,0.48128,0.49885,0.49863,0.5232,0.52187
418.5,0.49688,0.49468,0.4815,0.498,0.49892,0.52295,0.52221
419,0.49447,0.49429,0.48078,0.49683,0.49872,0.52219,0.52232
419.5,0.49144,0.49291,0.47929,0.49458,0.49827,0.52068,0.52191
420,0.48903,0.49075,0.47773,0.49201,0.49675,0.51832,0.52082
420.5,0.48689,0.48821,0.47701,0.48824,0.49433,0.51481,0.51901
421,0.48468,0.48634,0.47657,0.48486,0.49204,0.51072,0.51646
421.5,0.48262,0.48503,0.47548,0.48183,0.48981,0.50673,0.51438
422,0.47945,0.48374,0.47353,0.479,0.48758,0.50317,0.51278
422.5,0.47557,0.48236,0.47038,0.47672,0.48542,0.50031,0.51141
423,0.47121,0.4802,0.46719,0.47353,0.48258,0.49778,0.51002
423.5,0.46657,0.47695,0.46487,0.46963,0.47906,0.49509,0.50756
424,0.46222,0.47357,0.46291,0.46472,0.47586,0.49153,0.50388
424.5,0.45834,0.47078,0.46132,0.45964,0.47334,0.48723,0.49986
425,0.45493,0.46859,0.45889,0.45541,0.47079,0.48319,0.49642
425.5,0.45157,0.46637,0.45534,0.4518,0.46778,0.47904,0.49359
426,0.44757,0.46367,0.45142,0.44858,0.46407,0.47478,0.49077
426.5,0.44322,0.45955,0.44776,0.44484,0.45961,0.47085,0.48743
427,0.43837,0.45498,0.44479,0.44009,0.45541,0.46611,0.48327
427.5,0.43399,0.45106,0.44164,0.43488,0.45222,0.46131,0.47898
428,0.43031,0.4479,0.43776,0.4301,0.44912,0.45719,0.47503
428.5,0.42676,0.44527,0.43323,0.42584,0.4454,0.45284,0.47196
429,0.42276,0.44186,0.42885,0.42197,0.4412,0.44868,0.46913
429.5,0.41814,0.4379,0.42526,0.4179,0.43668,0.44481,0.46538
430,0.41276,0.43288,0.42243,0.41302,0.43248,0.44088,0.46123
430.5,0.40747,0.42831,0.41935,0.40827,0.429,0.43682,0.45618
431,0.40294,0.42436,0.41537,0.40414,0.42554,0.43233,0.45141
