,3NCz PL,,3PCz PL,
675,0.565357311878845,675,0.778326441715416,
676,0.58717027424216,676,0.79359628930596,
677,0.606727464069544,677,0.812143770820448,
678,0.629120170872045,678,0.829061548590897,
679,0.649385695070615,679,0.845351035079293,
680,0.670529865245223,680,0.860500588193123,
681,0.694379717039878,681,0.872856289066412,
682,0.716874859889904,682,0.884664155353113,
683,0.735647433183052,683,0.896658191663298,
684,0.755625887363938,684,0.913722822431292,
685,0.774458863675991,685,0.927188513248796,
686,0.794540376615936,686,0.938820364240566,
687,0.812908810122799,687,0.951790556380181,
688,0.829410977158941,688,0.963650758575581,
689,0.845760268513214,689,0.970963465022515,
690,0.862002142127681,690,0.979629093765986,
691,0.875776209928513,691,0.986047923722539,
692,0.88675523700401,692,0.991478880855177,
693,0.898785712506538,693,0.994805986533615,
